siteid,lon,lat,AQI
2410A,115.6386,34.407,338
1075A,115.6426,37.7379,93
2409A,115.6558,34.429,335
2411A,115.6578,34.402,351
2408A,115.6697,34.4286,348
1076A,115.6906,37.739,88
1074A,115.6951,37.7575,88
1296A,115.742,28.7994,64
2312A,115.7831,33.8561,361
2311A,115.8067,33.8399,325
1292A,115.813,28.7442,55
2301A,115.8275,32.8928,303
1294A,115.852,28.6869,57
2303A,115.8556,32.8603,305
1291A,115.8886,28.6839,66
1295A,115.892,28.6425,52
1290A,115.893,28.6844,74
3046A,115.9083,28.6064,72
1808A,115.9114,29.6039,89
1298A,115.931,28.6844,61
1804A,115.9581,29.7048,112
1293A,115.973,28.6969,54
1627A,115.9835,36.4796,133
1625A,115.9848,36.4372,132
1803A,115.9872,29.6816,123
1805A,115.988,29.7292,114
1810A,115.9936,29.5867,27
2878A,116.0072,36.4343,156
1806A,116.0174,29.6535,84
1807A,116.0628,29.6926,118
1809A,116.0726,29.7534,123
2203A,116.0781,43.9311,24
1691A,116.0797,24.2719,48
2202A,116.1042,43.9317,25
1692A,116.1248,24.2654,58
1690A,116.1278,24.3289,40
1002A,116.17,40.2865,108
2376A,116.2239,28.0797,82
1012A,116.225,39.9279,104
1010A,116.23,40.1952,114
3066A,116.2714,37.4372,106
1622A,116.3061,37.4664,113
1007A,116.315,39.9934,81
1624A,116.3189,37.4489,102
1709A,116.3242,23.5486,37
2377A,116.3553,27.9883,98
2379A,116.3574,28.0005,88
1710A,116.3594,23.5739,64
2378A,116.3598,27.9639,90
1006A,116.361,39.9425,123
1001A,116.366,39.8673,114
1708A,116.3697,23.5353,58
2380A,116.385,27.9647,99
1679A,116.4019,23.2536,40
1011A,116.407,40.0031,100
1711A,116.4094,23.5292,54
1003A,116.434,39.9522,97
1004A,116.434,39.8745,89
1005A,116.473,39.9716,93
2308A,116.478,31.7618,190
2309A,116.5068,31.7797,195
2307A,116.508,31.7371,144
1655A,116.5546,35.4039,265
2310A,116.5661,31.7712,169
1654A,116.5856,35.4144,276
1678A,116.6092,23.2539,57
3026A,116.6183,23.65889,78
1653A,116.6305,35.428,244
1705A,116.6339,23.6714,68
1009A,116.644,40.3937,78
1706A,116.6447,23.6706,78
1674A,116.6794,23.3667,65
1067A,116.6838,39.5178,68
2919A,116.7022,39.5453,67
2281A,116.7039,32.625,237
1008A,116.72,40.1438,93
1675A,116.7244,23.3633,51
1676A,116.7258,23.2775,32
1306A,116.734,36.5336,169
1070A,116.7464,39.5343,66
1677A,116.7519,23.4714,59
1068A,116.7729,39.5747,70
2284A,116.7844,33.9461,244
2282A,116.8008,33.975,230
2277A,116.8028,32.7639,239
2283A,116.8067,33.8997,291
2280A,116.8306,32.6319,200
